climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
el-teide,El Teide,ES,Canary Islands,from Los Cristianos,HC,41.8,2301,5.5,17.1,2311,28.25366,-16.62503,28.05121,-16.71618,,https://cycletrip.pro/climbs/el-teide
el-teide,El Teide,ES,Canary Islands,from Puerto de la Cruz,HC,38.3,2309,6.0,,2311,28.25366,-16.62503,28.41459,-16.54847,,https://cycletrip.pro/climbs/el-teide
monte-zoncolan-il-oncol-n,Monte Zoncolan / Il  Çoncolàn,IT,Friuli,from Ovaro / Davâr,HC,7.9,1039,13.2,20.9,1749,46.50247,12.92634,46.49004,12.87748,Q1468844,https://cycletrip.pro/climbs/monte-zoncolan-il-oncol-n
passo-dello-stelvio-stilfser-joch,Passo dello Stelvio - Stilfser Joch,IT,Dolomites,from Bormio,HC,21.9,1574,7.2,15.6,2758,46.52862,10.45321,46.46374,10.36546,Q1334855,https://cycletrip.pro/climbs/passo-dello-stelvio-stilfser-joch
passo-dello-stelvio-stilfser-joch,Passo dello Stelvio - Stilfser Joch,IT,Dolomites,from Prad am Stilfser Joch - Prato allo Stelvio,HC,25.3,1853,7.3,17.1,2758,46.52862,10.45321,46.61916,10.59667,Q1334855,https://cycletrip.pro/climbs/passo-dello-stelvio-stilfser-joch
colle-delle-finestre,Colle delle Finestre,IT,Piedmont,from Fenestrelle,1,15.7,1073,6.8,16.4,2176,45.07203,7.05334,45.02679,7.06848,Q1108944,https://cycletrip.pro/climbs/colle-delle-finestre
colle-delle-finestre,Colle delle Finestre,IT,Piedmont,from Meana di Susa,HC,15.8,1446,9.2,19.8,2176,45.07203,7.05334,45.11895,7.06498,Q1108944,https://cycletrip.pro/climbs/colle-delle-finestre
col-de-la-madeleine,Col de la Madeleine,FR,French Alps,from La Léchère,HC,25.6,1561,6.1,14.9,1993,45.43495,6.37552,45.53904,6.46948,Q1107475,https://cycletrip.pro/climbs/col-de-la-madeleine
col-de-la-madeleine,Col de la Madeleine,FR,French Alps,from Saint-Avre,HC,20.1,1539,7.7,13.7,1993,45.43495,6.37552,45.35352,6.30293,Q1107475,https://cycletrip.pro/climbs/col-de-la-madeleine
col-de-sommeiller-colle-del-sommeiller,Col de Sommeiller / Colle del Sommeiller,IT,Piedmont,from Bardonecchia,HC,24.9,1722,6.9,14.0,3009,45.13321,6.84585,45.08055,6.71036,Q525846,https://cycletrip.pro/climbs/col-de-sommeiller-colle-del-sommeiller
mont-ventoux,Mont Ventoux,FR,Provence,from Bédoin,HC,21.0,1569,7.5,16.3,1897,44.17298,5.27827,44.12519,5.18111,,https://cycletrip.pro/climbs/mont-ventoux
mont-ventoux,Mont Ventoux,FR,Provence,from Malaucène,HC,21.1,1540,7.3,13.6,1897,44.17298,5.27827,44.17311,5.13559,,https://cycletrip.pro/climbs/mont-ventoux
colle-valcavera,Colle Valcavera,IT,Piedmont,from Demonte,HC,22.7,1626,7.2,14.0,2416,44.38164,7.10124,44.31499,7.29491,Q3682752,https://cycletrip.pro/climbs/colle-valcavera
colle-fauniera,Colle Fauniera,IT,Piedmont,from Castelmagno,1,8.5,728,8.6,16.7,2481,44.38565,7.12181,44.39975,7.17089,Q1108936,https://cycletrip.pro/climbs/colle-fauniera
colle-fauniera,Colle Fauniera,IT,Piedmont,from Demonte,HC,24.5,1685,6.9,13.9,2481,44.38565,7.12181,44.31521,7.29537,Q1108936,https://cycletrip.pro/climbs/colle-fauniera
passo-dell-alpe-di-neggia,Passo dell'Alpe di Neggia,IT,,from Indemini,1,5.3,429,8.1,15.5,1395,46.11067,8.84545,46.0958,8.81879,Q666442,https://cycletrip.pro/climbs/passo-dell-alpe-di-neggia
passo-dell-alpe-di-neggia,Passo dell'Alpe di Neggia,IT,,from Vira (Gambarogno),HC,12.6,1193,9.5,22.3,1395,46.11067,8.84545,46.14407,8.84319,Q666442,https://cycletrip.pro/climbs/passo-dell-alpe-di-neggia
passo-san-marco,Passo San Marco,IT,Lombardy,from Morbegno,HC,26.0,1722,6.6,17.6,1991,46.04719,9.62278,46.13149,9.57513,Q176606,https://cycletrip.pro/climbs/passo-san-marco
